Date,Price,global_m2,m2_daily_change,PositionRatio
2020-02-21,9701.79750268849,73344.48810100001,-0.9320000000006985,0.6
2020-02-22,9675.24905756868,73344.48810100001,0.0,0.6
2020-02-23,9972.84242308591,73350.6972155,6.209114499986754,1.0
2020-02-24,9648.00788310929,73390.6500796,39.95286410000699,1.0
2020-02-25,9344.28714009351,73388.64743380001,-2.002645799992024,0.6
2020-02-26,8798.88894856809,73526.15900469999,137.51157089998014,1.0
2020-02-27,8779.02948188194,73557.9877543,31.828749600012088,1.0
2020-02-28,8750.59344599649,73556.07575429999,-1.9120000000111759,0.6
2020-02-29,8582.09029964933,73881.6367704,325.5610161000077,1.0
2020-03-01,8541.77389392169,74017.79585349999,136.15908309999213,1.0
2020-03-02,8906.21475645821,74063.6769918,45.881138300013845,1.0
2020-03-03,8768.81061420222,74021.8541853,-41.8228065000003,0.6
2020-03-04,8756.36957218001,74209.7211071,187.86692179999955,1.0
2020-03-05,9062.61580274693,74268.8594067,59.138299599988386,1.0
2020-03-06,9147.08505897136,74266.7794067,-2.0799999999871943,0.6
2020-03-07,8898.30695675044,74266.7794067,0.0,0.6
2020-03-08,8109.61454114553,74460.40012120001,193.62071450000803,1.0
2020-03-09,7896.38531987142,74264.7070749,-195.69304630001716,0.6
2020-03-10,7909.92787545295,74254.56841590001,-10.138658999989275,0.6
2020-03-11,7939.34133477499,74142.42348030001,-112.14493559999391,0.6
2020-03-12,4959.31341437756,74017.76854470001,-124.65493560000323,0.6
2020-03-13,5627.69238836938,74023.71854470001,5.94999999999709,1.0
2020-03-14,5145.17250642899,74023.71854470001,0.0,0.6
2020-03-15,5358.61066335476,74122.4026508,98.68410609998682,1.0
2020-03-16,5012.92738778492,73907.4802911,-214.92235969999456,0.6
2020-03-17,5416.7547106955,73797.02618960002,-110.45410149998497,0.6
2020-03-18,5392.48783594389,73544.1635257,-252.862663900014,0.6
2020-03-19,6203.5516320865,73544.69469159999,0.5311658999853535,1.0
2020-03-20,6174.14947603741,73533.6866916,-11.007999999987078,0.6
2020-03-21,6175.83102220924,73533.6866916,0.0,0.6
2020-03-22,5830.56097960257,73571.1616686,37.47497700000531,1.0
2020-03-23,6486.40865733489,73637.6164521,66.45478349999757,1.0
2020-03-24,6775.05761893629,73741.7152126,104.0987604999973,1.0
2020-03-25,6689.96901285798,73845.51909760002,103.80388500001573,1.0
2020-03-26,6754.46033606078,73936.86168300001,91.34258539999428,1.0
2020-03-27,6490.79541502046,73864.54768300001,-72.31399999999849,0.6
2020-03-28,6231.81989023963,73864.54768300001,0.0,0.6
2020-03-29,5904.85758679135,73745.87692250001,-118.67076049999741,0.6
2020-03-30,6436.90570017534,73702.9347658,-42.942156700009946,0.6
2020-03-31,6432.3832421391,74508.97156950002,806.0368037000153,1.0
2020-04-01,6643.11000870836,74411.4551389,-97.51643060002243,0.6
2020-04-02,6792.74222209234,74367.58635350001,-43.868785399987246,0.6
2020-04-03,6751.90255178258,74402.0963535,34.50999999999476,1.0
2020-04-04,6859.98916867329,74402.0963535,0.0,0.6
2020-04-05,6790.81247264758,74389.3056525,-12.790701000005356,0.6
2020-04-06,7298.17374517826,74521.0356625,131.7300099999993,1.0
2020-04-07,7187.59333664524,74529.6440688,8.608406300001661,1.0
2020-04-08,7372.19476399766,74389.86125620002,-139.7828125999804,0.6
2020-04-09,7299.57918790181,74441.65646650002,51.79521029999887,1.0
2020-04-10,6859.82267475161,74441.65646650002,0.0,0.6
2020-04-11,6883.18222895967,74441.65646650002,0.0,0.6
2020-04-12,6978.66628661601,74409.67971400001,-31.976752500006114,0.6
2020-04-13,6863.57553319696,74502.47683130001,92.7971172999969,1.0
2020-04-14,6875.53850344828,74405.30471400001,-97.1721172999969,0.6
2020-04-15,6625.47577510228,74132.56187710002,-272.7428368999972,0.6
2020-04-16,7127.79228223261,74175.11712030001,42.55524319999677,1.0
2020-04-17,7081.39519842197,74174.91612030001,-0.20100000000093132,0.6
2020-04-18,7262.79234360023,74174.91612030001,0.0,0.6
2020-04-19,7150.2442154588,74165.9626296,-8.953490700005204,0.6
2020-04-20,6853.27341478667,74127.7351389,-38.227490700010094,0.6
2020-04-21,6870.42369865576,74105.2768957,-22.45824320000247,0.6
2020-04-22,7123.65691992987,74035.347601,-69.92929469999217,0.6
2020-04-23,7488.60516528346,74098.4435452,63.09594420000212,1.0
2020-04-24,7506.44331648159,74098.3935452,-0.05000000000291038,0.6
2020-04-25,7537.73820911748,74098.3935452,0.0,0.6
2020-04-26,7684.06852168322,74109.9051761,11.511630900000455,1.0
2020-04-27,7777.49151858562,74084.69661530001,-25.208560799990664,0.6
2020-04-28,7769.89969842197,74160.5532605,75.85664519999409,1.0
2020-04-29,8761.83716954997,74172.38386850001,11.83060800000385,1.0
2020-04-30,8652.4109912332,76177.02022560002,2004.636357100011,1.0
2020-05-01,8855.53525827002,76178.54422560001,1.5239999999903375,1.0
