,Date,Price,global_m2,m2_daily_change,PositionRatio,global_m2_change,next_day_price_change
3643,2023-04-23,27604.6855742256,93030.1752228,86.57441010000184,1.0,0.0009314725203564134,-0.003060563794513471
3644,2023-04-24,27520.1996729982,92903.8219225,-126.35330029999022,1.0,-0.0013581969505849223,0.028433461759027834
3645,2023-04-25,28302.6942180012,93037.2019763,133.3800537999923,1.0,0.0014356788670251142,0.002880991282477874
3646,2023-04-26,28384.2340333139,92889.6697847,-147.5321915999957,1.0,-0.0015857333245853367,0.03809570456093625
3647,2023-04-27,29465.5514272355,92877.07859309998,-12.591191600018648,1.0,-0.00013554996620401827,-0.003894023191890583
3648,2023-04-28,29350.811886616,92825.52559309998,-51.55299999999989,1.0,-0.0005550669851046575,-0.004405240288329448
3649,2023-04-29,29221.5145075979,92825.52559309998,0.0,1.0,0.0,0.004810575093647129
3650,2023-04-30,29362.0867974868,92607.96233249998,-217.56326059999992,0.5,-0.0023437870048125253,-0.04247428388762031
3651,2023-05-01,28114.9531873174,92728.3960077,120.43367520000902,1.0,0.001300467823356355,0.02047408027878439
3652,2023-05-02,28690.5809959088,92793.4824941,65.0864864000032,1.0,0.0007019045858898121,0.01235463923390201
3653,2023-05-03,29045.0427735243,92752.2072589,-41.27523519999522,1.0,-0.0004448074809846325,-0.00651351517974863
3654,2023-05-04,28855.8574465225,92777.1139133,24.90665439999429,1.0,0.0002685289669761559,0.024158425319359633
3655,2023-05-05,29552.9695236704,92812.0979133,34.98399999999674,1.0,0.00037707575202960975,-0.022113059159411197
3656,2023-05-06,28899.4629602572,92812.0979133,0.0,1.0,0.0,-0.004765643091624194
3657,2023-05-07,28761.738434249,92789.38877730002,-22.70913599997584,1.0,-0.0002446786196039774,-0.0359662899896096
3658,2023-05-08,27727.2854091175,92714.1032541,-75.28552320001472,1.0,-0.0008113591887182192,-0.003060425807021039
3659,2023-05-09,27642.4281092928,92742.1469869,28.043732799997088,1.0,0.00030247537122951584,0.0001293950298815183
3660,2023-05-10,27646.004902104,92701.9778461,-40.16914080000424,1.0,-0.0004331271391170288,-0.023863622924511274
3661,2023-05-11,26986.271065751,92591.4497053,-110.52814080000098,1.0,-0.001192295389678688,-0.00789018631308902
3662,2023-05-12,26773.3443591467,92604.4937053,13.044000000008964,1.0,0.00014087693886999375,0.002541853990689402
3663,2023-05-13,26841.3982913501,92604.4937053,0.0,1.0,0.0,0.0028636103719927863
3664,2023-05-14,26918.261597896,92643.8562077,39.36250239999208,1.0,0.0004250603920503693,0.011641168065997798
3665,2023-05-15,27231.6216052016,92632.4469565,-11.40925119999156,1.0,-0.00012315173036847593,-0.007561188303291111
3666,2023-05-16,27025.7181864407,92615.3392813,-17.10767520000809,1.0,-0.00018468339941446477,0.01388772990399234
3667,2023-05-17,27401.0440610754,92583.3751981,-31.96408320000046,1.0,-0.00034512731312164036,-0.020357215806349416
3668,2023-05-18,26843.2350938048,92611.7731821,28.397984000010183,1.0,0.00030672876139203886,0.0017236572840610975
3669,2023-05-19,26889.503631502,92573.3191821,-38.454000000012456,1.0,-0.00041521718760750836,0.007860117436075953
3670,2023-05-20,27100.8582878434,92573.3191821,0.0,1.0,0.0,-0.011946503731984248
3671,2023-05-21,26777.0977831677,92583.9167789,10.59759680001298,1.0,0.00011447787433405132,0.0030488472350060913
3672,2023-05-22,26858.7370637054,92521.7401981,-62.17658080000547,1.0,-0.0006715699979348289,0.01370573798051522
3673,2023-05-23,27226.8558763881,92507.0554653,-14.684732800000347,1.0,-0.00015871656508581466,-0.0325202893700175
3674,2023-05-24,26341.4306446522,92530.9688477,23.913382400001865,1.0,0.0002585033355533284,0.005444096059889381
3675,2023-05-25,26484.8359234366,92585.5537901,54.584942400004365,1.0,0.0005899099845139144,0.008893688613915929
3676,2023-05-26,26720.3838071303,92593.5107901,7.956999999994878,1.0,8.594213324064626e-05,0.005020757339765369
3677,2023-05-27,26854.5403702513,92593.5107901,0.0,1.0,0.0,0.04628568348447115
3678,2023-05-28,28097.5211259497,92569.2877117,-24.223078399998485,1.0,-0.0002616066524889771,-0.011831942579022314
3679,2023-05-29,27765.0728693746,92607.1362717,37.84855999999854,1.0,0.0004088673569344614,-0.0018937924336981382
3680,2023-05-30,27712.4915844535,92528.2108637,-78.92540799999551,1.0,-0.0008522605403586958,-0.01785506456210828
3681,2023-05-31,27217.6832580362,91055.0160058,-1473.1948579000018,0.5,-0.01592157509745984,-0.014413861356130209
3682,2023-06-01,26825.3713451198,91068.1756292,13.159623400002602,1.0,0.00014452387114149978,0.016024257167045697
3683,2023-06-02,27255.2279941555,91086.1286292,17.952999999994063,1.0,0.00019713802188259244,-0.006450855221057039
3684,2023-06-03,27079.4084643483,91086.1286292,0.0,1.0,0.0,0.002911662760488598
3685,2023-06-04,27158.25456955,91092.1763608,6.047731600003317,1.0,6.639574753064537e-05,-0.050533552582165964
3686,2023-06-05,25785.8514842198,91072.6227028,-19.55365800000436,1.0,-0.00021465792981556486,0.055376066807665714
3687,2023-06-06,27213.7705187025,91079.9852331,7.362530300000799,1.0,8.084240995254177e-05,-0.0321231300484075
3688,2023-06-07,26339.5790292227,91184.2675967,104.28236359999572,1.0,0.0011449536726768628,0.006914103338601318
3689,2023-06-08,26521.693600526,91154.131811,-30.13578569999663,1.0,-0.00033049325825906806,-0.0019235582489530723
3690,2023-06-09,26470.6775780245,91168.277811,14.146000000007916,1.0,0.00015518769932820753,-0.02294855224471881
3691,2023-06-10,25863.2138506721,91168.277811,0.0,1.0,0.0,0.0016863449857942303
3692,2023-06-11,25906.8281516657,91180.3732742,12.095463199992082,1.0,0.0001326718403638072,-2.941936672273826e-06
3693,2023-06-12,25906.7519354179,91234.0729257,53.69965150000644,1.0,0.0005889387109494493,-0.000999429109254657
3694,2023-06-13,25880.8599734074,91345.3883088,111.3153830999945,1.0,0.0012201075708924147,-0.03026462778321959
3695,2023-06-14,25097.5853796026,91425.8016594,80.41335059999255,1.0,0.0008803219526327677,0.01839053210720909
3696,2023-06-15,25559.1433293396,91536.7189278,110.91726840000774,1.0,0.001213194376060489,0.030230933607334087
3697,2023-06-16,26331.8200943892,91517.3029278,-19.41599999999744,1.0,-0.0002121116009774493,0.00692512915781518
3698,2023-06-17,26514.1713495032,91517.3029278,0.0,1.0,0.0,-0.006042378788964187
3699,2023-06-18,26353.962682934,91485.5523369,-31.750590900002862,1.0,-0.00034693538690766523,0.016092485358770503
3700,2023-06-19,26778.0634415547,91481.0165382,-4.535798700002488,1.0,-4.957939897765051e-05,0.05703762033105142
3701,2023-06-20,28305.4204573349,91607.4069083,126.39037010000902,1.0,0.0013816021605665973,0.06338343909547839
3702,2023-06-21,30099.5153509643,91338.1919884,-269.2149199000123,0.5,-0.0029387898750316,-0.004883934594152484
3703,2023-06-22,29952.5112866745,91289.8670144,-48.32497399998829,1.0,-0.0005290774094381945,0.02289766194315135
3704,2023-06-23,30638.3537644652,91315.19801439998,25.330999999976484,1.0,0.00027747876986161657,-0.002915870672853038
3705,2023-06-24,30549.0162872589,91315.19801439998,0.0,1.0,0.0,-0.0026703287578337953
3706,2023-06-25,30467.4403705435,91328.8054105,13.607396100022015,1.0,0.00014901567752034772,-0.006943617309960626
3707,2023-06-26,30255.8861241964,91421.8266529,93.02124239999102,1.0,0.0010185312507031696,0.013590419033589596
3708,2023-06-27,30667.0762948568,91359.1828737,-62.64377919999242,1.0,-0.0006852168841235962,-0.018359527255629726
3709,2023-06-28,30104.0432717709,91177.2641616,-181.91871209999957,0.5,-0.001991247145363473,0.011850557850035859
3710,2023-06-29,30460.792978083,91258.8520079,81.58784629999718,1.0,0.0008948266549804185,0.0007783868160640139
3711,2023-06-30,30484.503257744,90791.7214964,-467.1305114999996,0.5,-0.005118741921710357,0.0031880364574585762
3712,2023-07-01,30581.6889655172,90791.7214964,0.0,1.0,0.0,0.0004096408212288516
3713,2023-07-02,30594.2164736996,90796.2488618,4.527365400004783,1.0,4.986539879836549e-05,0.017687693558770867
3714,2023-07-03,31135.3575993571,90866.600477,70.35161519999383,1.0,0.0007748295340601619,-0.010772644650473673
3715,2023-07-04,30799.9474558738,90828.872432,-37.7280449999962,1.0,-0.00041520255849725185,-0.009809280617086968
3716,2023-07-05,30497.8221282876,90905.43618219998,76.56375019997358,1.0,0.0008429450696669782,-0.016987846431793407
